Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code
,Duke Services,Dutch Brothers Coffee,1517 Columbus St,,Bakersfield,CA,93305,,1011,91,
,Duke Services,Dutch Brothers Coffee,21690 Bear Valley Rd,,Apple Valley,CA,92308,,1011,91,
,Duke Services,Dutch Brothers Coffee,44175 Jefferson St,,La Quinta,CA,92253,,1011,91,
,Duke Services,Dutch Brothers Coffee,1790 N. Broadway,,Santa Maria,CA,93454,,1011,91,
,Duke Services,Dutch Brothers Coffee,1259 E Grand Ave.,,Arroyo Grande,CA,93420,,1011,91,
,Duke Services,Dutch Brothers Coffee,14788 Bear Valley Road,,Victorville,CA,92395,,1011,91,
,Duke Services,Dutch Brothers Coffee,3302 California Avenue,,Bakersfield,CA,93304,,1011,91,
,Duke Services,Dutch Brothers Coffee,2901 Calloway Dr,,Bakersfield,CA,93312,,1011,91,
,Duke Services,Dutch Brothers Coffee,32690 Yucaipa Blvd,,Yucaipa,CA,92399,,1011,91,
,Duke Services,Dutch Brothers Coffee,81-776 Highway 111,,Indio,CA,92201,,1011,91,
,Duke Services,Dutch Brothers Coffee,301 Regent St,,Flagstaff,AZ,86001,,1011,91,
,Duke Services,Dutch Brothers Coffee,5963 E STATE RT 69,,Prescott Valley,AZ,86314,,1011,91,
,Duke Services,Dutch Brothers Coffee,3169 Willow Creek Rd,,Prescott,AZ,86301,,1011,91,
,Duke Services,Dutch Brothers Coffee,120 S WILMOT RD.,,Tucson,AZ,85711,,1011,91,
,Duke Services,Dutch Brothers Coffee,602 S Beeline Hwy,,Payson,AZ,85541,,1011,91,
,Duke Services,Dutch Brothers Coffee,2211 E Florence Blvd,,Casa Grande,AZ,85122,,1011,91,
,Duke Services,Dutch Brothers Coffee,10105 E Old Vail Rd,,Tucson,AZ,85747,,1011,91,
,Duke Services,Dutch Brothers Coffee,18800 S Nogales Hwy,,Sahuarita,AZ,85629,,1011,91,
,Duke Services,Dutch Brothers Coffee,1519 E. State Route 89A,,Cottonwood,AZ,86326,,1011,91,
,Duke Services,Dutch Brothers Coffee,9330 E Golf Links Rd,,Tucson,AZ,85748,,1011,91,
,Duke Services,Dutch Brothers Coffee,1771 N Fourth St,,Flagstaff,AZ,86004,,1011,91,
,Duke Services,Dutch Brothers Coffee,20232 N John Wayne Pkwy,,Maricopa,AZ,85139,,1011,91,
,Duke Services,Dutch Brothers Coffee,1971 W Valencia Rd,,Tucson,AZ,85746,,1011,91,
,Duke Services,Dutch Brothers Coffee,5690 W Cortaro Farms Rd,,Tucson,AZ,85742,,1011,91,
,Duke Services,Dutch Brothers Coffee,20898 E. Queen Creek Rd.,,Queen Creek,AZ,85142,,1011,91,
,Duke Services,Dutch Brothers Coffee,3901 E 22ND ST. (ALVERNON),,Tucson,AZ,85712,,1011,91,
,Duke Services,Dutch Brothers Coffee,1512 S. 4th Ave,,Yuma,AZ,85364,,1011,91,
,Duke Services,Dutch Brothers Coffee,4621 E. Grant Rd,,Tucson,AZ,85712,,1011,91,
,Duke Services,Dutch Brothers Coffee,"2250 HIGHWAY 95, SUIT 42",,Bullhead City,AZ,86442,,1011,91,
,Duke Services,Dutch Brothers Coffee,9730 N. ORACLE ROAD,,Oro Valley,AZ,85704,,1011,91,
,Duke Services,Dutch Brothers Coffee,3700 E SPEEDWAY BLVD SEC (DODGE),,Tucson,AZ,85716,,1011,91,
,Duke Services,Dutch Brothers Coffee,944 W Apache Trail,,Apache Junction,AZ,85120,,1011,91,
,Duke Services,Dutch Brothers Coffee,6725 E Tanque Verde Rd,,Tucson,AZ,85715,,1011,91,
,Duke Services,Dutch Brothers Coffee,2995 S. KINO PARKWAY,,Tucson,AZ,85713,,1011,91,
,Duke Services,Dutch Brothers Coffee,38158 N. Gantzel Rd.,,San Tan Valley,AZ,85140,,1011,91,
,Duke Services,Dutch Brothers Coffee,3002 SOUTH 4TH AVE,,Yuma,AZ,85364,,1011,91,
,Duke Services,Dutch Brothers Coffee,4144 W INA RD,,Tucson,AZ,85741,,1011,91,
,Duke Services,Dutch Brothers Coffee,3699 Stockton Hill Rd.,,Kingman,AZ,86409,,1011,91,
,Duke Services,Dutch Brothers Coffee,2709 S Signal Butte Rd.,,Mesa,AZ,85209,,1011,91,
,Duke Services,Dutch Brothers Coffee,2121 Unser Blvd,,Rio Rancho,NM,87124,,1011,91,
,Duke Services,Dutch Brothers Coffee,1440 Rio Rancho Blvd,,Rio Rancho,NM,87124,,1011,91,
,Duke Services,Dutch Brothers Coffee,700 NW Coors Blvd,,Albuquerque,NM,87121,,1011,91,
,Duke Services,Dutch Brothers Coffee,1105 NE Juan Tabo Blvd,,Albuquerque,NM,87112,,1011,91,
,Duke Services,Dutch Brothers Coffee,3550 Bataan Memorial E,,Las Cruces,NM,88011,,1011,91,
,Duke Services,Dutch Brothers Coffee,340 US 550,,Bernalillo,NM,87004,,1011,91,
