Customer Number,Company,Address2,Address3,City,PostalCode,Phone,Route,Branch,Route Code,Email
20976545,Duke Services,1800 NE ANDRESEN RD,,VANCOUVER,98661,3609920677,1011,91,,SALES@DUKESERVICES.COM
20976546,Duke Services,10822 ROOSEVELT WY NE,,SEATTLE,98125,2063673086,1011,91,,SALES@DUKESERVICES.COM
20976547,Duke Services,14424 N GREENWOOD AVE,,SEATTLE,98133,2063618333,1011,91,,SALES@DUKESERVICES.COM
20976548,Duke Services,22003 VIKING AVE NW,,POULSBO,98370,,1011,91,,SALES@DUKESERVICES.COM
20976549,Duke Services,9630 RIDGETOP BLVD 1,,SILVERDALE,98383,3606927635,1011,91,,SALES@DUKESERVICES.COM
20976550,Duke Services,116 NE 164TH AVE,,VANCOUVER,98684,,1011,91,,SALES@DUKESERVICES.COM
20976551,Duke Services,916 HARRISON AVE,,CENTRALIA,98531,3607362041,1011,91,,SALES@DUKESERVICES.COM
20976552,Duke Services,11600 124TH AVE NE,,KIRKLAND,98034,4252962251,1011,91,,SALES@DUKESERVICES.COM
20976553,Duke Services,2900 Soper Hil Rd,,Lake Stevens,98258,4255129630,1011,91,,SALES@DUKESERVICES.COM
20976554,Duke Services,10314 SE MILL PLAIN RD,,VANCOUVER,98664,3603142082,1011,91,,SALES@DUKESERVICES.COM
20976555,Duke Services,13948 NE 20TH ST,,BELLEVUE,98005,4252207278,1011,91,,SALES@DUKESERVICES.COM
20976556,Duke Services,2714 NE 112TH AVE,,VANCOUVER,98684,3602607441,1011,91,,SALES@DUKESERVICES.COM
20976557,Duke Services,9931 19TH AVE SE,,EVERETT,98208,4255951911,1011,91,,SALES@DUKESERVICES.COM
20976558,Duke Services,13131 BOTHELL EVERETT HWY,,EVERETT,98208,4253373233,1011,91,,SALES@DUKESERVICES.COM
20976559,Duke Services,3910 S 320TH ST,,AUBURN,98001,2538397305,1011,91,,SALES@DUKESERVICES.COM
20976560,Duke Services,4240 MERIDIAN ST,,BELLINGHAM,98225,,1011,91,,SALES@DUKESERVICES.COM
20976561,Duke Services,401 ELLINGSON RD,,PACIFIC,98047,2538760273,1011,91,,SALES@DUKESERVICES.COM
20976562,Duke Services,2601 YELM HWY SE 1,,OLYMPIA,98501,3608083791,1011,91,,SALES@DUKESERVICES.COM
20976563,Duke Services,24014 116th Ave SE,,KENT,98031,,1011,91,,SALES@DUKESERVICES.COM
20976564,Duke Services,5515 38TH AVE,,GIG HARBOR,98335,5125672263,1011,91,,SALES@DUKESERVICES.COM
20976565,Duke Services,15520 NE WOODINVILLE DUVA,,WOODINVILLE,98072,4254869193,1011,91,,SALES@DUKESERVICES.COM
20976566,Duke Services,1901 NE 205TH ST,,SHORELINE,98155,2064401967,1011,91,,SALES@DUKESERVICES.COM
20976567,Duke Services,9596 OLD HWY 99 NORTH ROAD,,BURLINGTON,98233,2069555545,1011,91,,SALES@DUKESERVICES.COM
20976568,Duke Services,800 FRONT ST N,,ISSAQUAH,98027,4254278787,1011,91,,SALES@DUKESERVICES.COM
20976569,Duke Services,116 US HWY 12,,CHEHALIS,98532,3602620045,1011,91,,SALES@DUKESERVICES.COM
20976570,Duke Services,2623 BRIDGEPORT WAY W,,TACOMA,98466,2535641179,1011,91,,SALES@DUKESERVICES.COM
20976571,Duke Services,830 MOORE ST,,SEDRO WOOLLEY,98284,3608565022,1011,91,,SALES@DUKESERVICES.COM
20976572,Duke Services,7455 HAWKS PRAIRIE RD NE,,LACEY,98503,3604382708,1011,91,,SALES@DUKESERVICES.COM
