Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,PricingParentId
,Yesway/Allsup #102160,2515 W 2nd St,,,Roswell,NM,88201,(575) 625-9939,1011,91,,,9001246
,Yesway/Allsup #102223,1603 North First,,,Artesia,NM,88210,575-748-3467,1011,91,,,9001246
,Yesway/Allsup #102286,501 W. McGaffey Street,,,Roswell,NM,88203,(575) 625-9941,1011,91,,,9001246
,Yesway/Allsup #102308,110 West Kansas Ave,,,Jal,NM,88252,575-395-2064,1011,91,,,9001246
,Yesway/Allsup #102392,5500 N. Main St,,,Roswell,NM,88203,(575) 623-9930,1011,91,,,9001246
,Yesway/Allsup #102379,28691 US Highway 70**,,,Tinnie,NM,88351,575-653-4622,1011,91,,,9001246
,Yesway/Allsup #102377,820 US Hwy 70,,,Alamogordo,NM,88310,(575) 437-2867,1011,91,,,9001246
,Yesway/Allsup #102404,4412 National Parks Hwy,,,Carlsbad,NM,88220,(575) 885-9538,1011,91,,,9001246
,Yesway/Allsup #102373,1201 Mechem,,,Ruidoso,NM,88345,,1011,91,,,9001246
,Yesway/Allsup #102400,2369 State Highway 469,,,San Jon,NM,88434,(575) 576-9252,1011,91,,,9001246
,Yesway/Allsup #102387,1107 NE Hwy 54**,,,Guymon,OK,73942,(580) 338-4229,1011,91,,,9001246
,Yesway/Allsup #102408,1711 North Main Street,,,Altus,OK,73521,(580) 379-4382,1011,91,,,9001246
,Yesway/Allsup #102420,1419 South Main Street,,,Altus,OK,73521,(580) 379-2369,1011,91,,,9001246
,Yesway/Allsup #102423,607 South 1st Street,,,Madill,OK,73446,,1011,91,,,9001246
,Yesway/Allsup #102056,1014 N Boykin Dr,,,Memphis,TX,79245,(806) 259-2391,1011,91,,,9001246
,Yesway/Allsup #102228,601 Graham St,,,Tuscola,TX,79562,325-554-7523,1011,91,,,9001246
,Yesway/Allsup #102166,302 N 15th St,,,Canyon,TX,79015,(806) 655-9633,1011,91,,,9001246
,Yesway/Allsup #102305,1303 East 1st Street,,,Hereford,TX,79045,806-364-8008,1011,91,,,9001246
,Yesway/Allsup #102007,201 N Cates St,,,Decatur,TX,76234,940-627-3444,1011,91,,,9001246
,Yesway/Allsup #102313,1153 US-377,,,Pilot Point,TX,76258,(940) 686-5011,1011,91,,,9001246
,Yesway/Allsup #102332,4002 Ridgemont Dr,,,Abilene,TX,79606,325-691-0972,1011,91,,,9001246
