Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Parent,Email
,Duke Services,AMPM #6209,950 N 85TH ST,,SEATTLE,WA,98103,2067299608,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83423,10222 MARTIN WAY E,,OLYMPIA,WA,98516,3605809764,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7013,5620 MARTIN LUTHER JR WAY,,SEATTLE,WA,98118,2067250678,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7057,31990 STATE RTE 20,,OAK HARBOR,WA,98277,3606750159,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7060,1790 S BURLINGTON BLVD,,BURLINGTON,WA,98233,3607578554,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7082,1920 Schurman Way,,Woodland,WA,98674,3602259508,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82769,7915 EVERGREEN WAY,,EVERETT,WA,98203,4252909699,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82941,15252 TUKWILA INTERNATIONAL BLVD,,TUKWILA,WA,98188,2062420545,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83031,3601 CENTER ST,,TACOMA,WA,98409,2533833867,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #409,13515 AMBAUM BLVD SW,,BURIEN,WA,98146,2064397813,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7053,10216 224TH E,,GRAHAM,WA,98338,2536555608,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7061,8247 PACIFIC AVE,,TACOMA,WA,98408,2534745348,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82190,7599 STATE ROUTE 303,,BREMERTON,WA,98311,3603079518,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82191,15244 SILVERDALE WAY NW,,POULSBO,WA,98370,3607796772,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82746,609 NE 99TH ST,,VANCOUVER,WA,98665,3607874245,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82786,21201 44TH AVE W,,MOUNTLAKE TERRACE,WA,98043,4256720478,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82983,3002 OLD FAIRHAVEN PKWY,,BELLINGHAM,WA,98225,3607560143,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83011,4806 196TH ST SW,,LYNNWOOD,WA,98036,4253617258,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83098,5800 SOUTHCENTER BLVD,,TUKWILA,WA,98188,2062482520,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83138,2233 SR 530 NE,,ARLINGTON,WA,98223,3606528888,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83155,17906 ASH WAY,,LYNNWOOD,WA,98037,4257459898,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83558,1101 S SPRAGUE AVE,,TACOMA,WA,98405,2533834234,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #5443,701 128TH ST SW,,EVERETT,WA,98204,4253553441,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7091,26930 104TH DRIVE NW,,STANWOOD,WA,98292,3606295186,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7130,11500 NE 119th ST,,VANCOUVER,WA,98662,,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7059,13023 NE 175TH ST,,WOODINVILLE,WA,98072,4254815063,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7065,17601 CANYON RD,,PUYALLUP,WA,98373,2538467409,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7145,705 HERON ST,,ABERDEEN,WA,98520,3605329002,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #81786,16507 STATE RTE 507 SE,,YELM,WA,98597,3604584477,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82481,665 23RD AVE,,SEATTLE,WA,98122,2068602171,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82829,3231 SE LUND AVE,,PORT ORCHARD,WA,98366,3608715168,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83208,10323 PORTLAND AVE E,,TACOMA,WA,98445,2535375064,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #83375,402 SLEATER KINNEY RD SE,,LACEY,WA,98503,3604595314,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #7073,17450 SE 272ND ST,,COVINGTON,WA,98042,2536318676,1011,91,,9001236,SALES@DUKESERVICES.COM
,Duke Services,AMPM #82590,2101 6TH ST,,BREMERTON,WA,98312,3603770816,1011,91,,9001236,SALES@DUKESERVICES.COM
