Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,Parent
,Duke Services,Snooze Eatery #102,700 N Colorado Blvd,,Denver,CO,80206,303-736-6200,1011,91,,7co-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #407,5100 Beltline Rd,,Dallas,TX,75254,972-360-8990,1011,91,,addison-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #305,4901 E Ray Road,,Phoenix,AZ,85044,480-893-7638,1011,91,,ahwatukee-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #401,3800 N Lamar Blvd,,Austin,TX,78756,512-410-0670,1011,91,,nlamar-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #402,1700 S Lamar Blvd,,Austin,TX,78704,512-428-8444,1011,91,,slamar-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #406,23501 Cinco Ranch Blvd,,Katy,TX,77494,281-394-7780,1011,91,,cincoranch-gm@snoozeatery.com,9001236
,Duke Services,Snooze Eatery #306,800 North Central Ave,,Phoenix,AZ,85004,602-675-9950,1011,91,,circlerecords-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #410,"820 Bar Area Blvd  Webster,",,Webster,TX,77598,346-230-4883,1011,91,,clearlake-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #419,"711 University Dr. E, Ste. 400",,College Station,TX,77840,979-921-1750,1011,91,,collegestation-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #202,3435 Del Mar Heights Rd,,San Diego,CA,92130,858-703-5300,1011,91,,dmar-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #412,1109 E 5th Street,,Austin,TX,78702,512-886-1550,1011,91,,eastaustin-gm@snoozeeatery.com,9001236
,Duke Services,Snooze Eatery #801,969 Main Street,,Nashville,TN,37206,615-314-5600,1011,91,,eastnashville-gm@snoozeeatery.com,9001236
