Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,Parent
20976400,Sweet Brew,Kum & Go  ,3105 Stadium Blvd,,Jonesboro,AR,72404,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976401,Sweet Brew,Kum & Go  ,2607 Red Wolf Blvd,,Jonesboro,AR,72401,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976402,Sweet Brew,Kum & Go  ,4810 E Highland Dr,,Jonesboro,AR,72401,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976403,Sweet Brew,Kum & Go  ,2214 E Johnson Ave.,,Jonesboro,AR,72401,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976404,Sweet Brew,Kum & Go  ,3418 E Johnson Ave,,Jonesboro,AR,72401,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976405,Sweet Brew,Kum & Go  ,3400 Linwood Dr.,,Paragould,AR,72450,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976406,Sweet Brew,Kum & Go  ,2625 W. Kings Highway,,Paragould,AR,72450,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976407,Sweet Brew,Kum & Go  ,4609 W Kings Highway,,Paragould,AR,72450,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976408,Sweet Brew,Kum & Go  ,10144 US Highway 63,,Bono,AR,72416,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976409,Sweet Brew,Kum & Go  ,200 US Highway 63,,Bono,AR,72416,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976410,Sweet Brew,Kum & Go  ,680 Southwest Drive,,Jonesboro,AR,72401,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976411,Sweet Brew,Kum & Go  ,3920 Southwest Drive,,Jonesboro,AR,72404,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976412,Sweet Brew,Kum & Go  ,1303 South Pine St.,,Cabot,AR,72023,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,
20976413,Sweet Brew,Kum & Go  ,1501 West Main St,,Jacksonville,AR,72076,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976414,Sweet Brew,Kum & Go  ,3400 E Kiehl Ave,,Sherwood,AR,72120,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976415,Sweet Brew,Kum & Go  ,3220 Springhill Dr.,,North Little Rock,AR,72117,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976416,Sweet Brew,Kum & Go  ,7620 Baseline Rd,,Little Rock,AR,72209,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976417,Sweet Brew,Kum & Go  ,,,Bryant,AR,72022,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976418,Sweet Brew,Kum & Go  ,2202 Military Road,,Benton,AR,72015,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976419,Sweet Brew,Kum & Go  ,15617 Chenal Parkway,,Little Rock,AR,72211,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976420,,Kum & Go  ,8801 Maumelle Blvd,,North Little Rock,AR,72113,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
20976421,Sweet Brew,Kum & Go  ,21510 Hwy 365 N,,Maumelle,AR,72113,(251) 300-3324 ,1011,91,,jt@sweetbrewtea.com,9001218
