Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code
WCC01-1104   ,BASSITT AUTO                            ,18115 S W BASELINE                    ,                                        ,,BEAVERTON           ,OR             ,97006,(503) 690-0696,2900,545,
WCC01-1231   ,RAYS FOOD PLACE #44 - WALDPORT          ,580 NE BROADWAY                         ,                                        ,,WALDPORT            ,OR             ,97394,(541) 563-3542,2900,545,
WCC01-140042 ,FALOMA MARKET                           ,330 N MARINE DR                       ,                                        ,,PORTLAND            ,OR             ,97217,(503) 289-8470,2900,545,
WCC01-1440   ,CHEVRON - FIVE STAR                     ,3435 NE MLK BLVD                       ,                                        ,,PORTLAND            ,OR             ,97211,(503) 249-0362,2900,545,
WCC01-1111   ,WEBSITE SALES                           ,21400 NW MAUZEY RD                      ,                                        ,,HILLSBORO           ,OR             ,97124,(503) 643-3697,2900,545,
WCC01-140001 ,LIBERTY MARKET                          ,516 E THIRD ST                          ,                                        ,,LAFAYETTE           ,OR             ,97127,(503) 844-6483,2900,545,
WCC01-140073 ,CHEVRON - OREGON CITY                   ,1002 MCLOUGHLIN BLVD                    ,                                        ,,OREGON CITY         ,OR             ,97045,(503) 655-2063,2900,545,
WCC01-1429   ,SHELL - CORNELIUS                       ,845 N ADAIR ST                          ,                                        ,,CORNELIUS           ,OR             ,97113,(503) 992-8900,2900,545,
WCC01-110003 ,QUICK STOP INC                          ,522 MAIN ST                             ,                                        ,,AUMSVILLE           ,OR             ,97325,(503) 749-2700,2900,545,
WCC01-1113   ,BEAVERTON SUB STATION                   ,12448 S W BROADWAY                    ,                                        ,,BEAVERTON           ,OR             ,97005,(503) 641-7827,2900,545,
WCC01-1228   ,WAREHOUSE - HILLSBORO                   ,6795 SW 111TH AVE                       ,                                        ,,PORTLAND            ,OR             ,97008,(503) 643-3697,2900,545,
WCC01-1254   ,TESORO HOLTS MARKET                     ,464 OREGON WAY                          ,                                        ,,LONGVIEW            ,WA             ,98632,(360) 423-1040,2900,545,
WCC01-1101   ,B & B FOOD MART                         ,8411 E MILL PLAIN BLVD                 ,                                        ,,VANCOUVER           ,WA             ,98664,(360) 696-2411,2900,545,
WCC01-1220   ,JIM BECKMAN                             ,21400 NW MAUZEY RD                      ,                                        ,,HILLSBORO           ,OR             ,97124,,2900,545,
WCC01-1354   ,WEECES MARKET                           ,7310 SE PLEASANT HOME RD               ,                                        ,,GRESHAM             ,OR             ,97080,(503) 663-3141,2900,545,
WCC01-150362 ,SHELL - POWELL ST                       ,3515 SE 122 nd STREET                 ,                                        ,,PORTLAND            ,OR             ,97045,(503) 781-2960,2900,545,
WCC01-150101 ,JERRY'S GAS & FOOD MART                 ,203 BISHOP WAY                          ,                                        ,,BROWNSVILLE         ,OR             ,97327,(541) 466-5238,2900,545,
WCC01-150193 ,US MINI MART #21                        ,2525 GEARY ST SE                        ,                                        ,,ALBANY              ,OR             ,97322,(541) 704-0202,2900,545,
WCC01-1640   ,TIMBER COUNTRY COCA COLA                ,165 BOURBON ST                          ,                                        ,,ROSEBURG            ,OR             ,97471,(541) 580-2394,2900,545,
WCC01-150213 ,MERRITT # 1 INC                         ,10966 SE MCLOUGHLIN BLVD                ,                                        ,,MILWAUKEE           ,OR             ,97222,(503) 588-7872,2900,545,
WCC01-150222 ,MIDWAY GROCERY                          ,3239 HWY 20                             ,                                        ,,SWEET HOME          ,OR             ,97386,(541) 367-1552,2900,545,
WCC01-1660   ,CLATSKANIE MARKET                       ,178 N NEHALEM                           ,                                        ,,CLATSKANIE          ,OR             ,97016,(503) 728-3115,2900,545,
WCC01-1680   ,BELMONT AUTO SERVICE                    ,3840 SE BELMONT                         ,                                        ,,PORTLAND            ,OR             ,97214,(503) 236-6681,2900,545,
WCC01-1668   ,MINIT MART #35                          ,1610 NE 223RD                           ,                                        ,,FAIRVIEW            ,OR             ,97024,(503) 667-9078,2900,545,
WCC01-1714   ,SENTRY - HOLCOMBS                       ,320 COLUMBUS AVE                        ,                                        ,,GOLDENDALE          ,WA             ,98620,(509) 773-4958,2900,545,
WCC01-1753   ,MAZATLAN RESTAURANT - T. V. HWY.        ,20413 SW TUALATIN VALLEY HWY         ,                                        ,,ALOHA               ,OR             ,97006,(503) 591-9536,2900,545,
WCC01-1795   ,MAZATLAN MEXICAN RESTAURANT             ,1445 S ROSEVELT                        ,                                        ,,SEASIDE             ,OR             ,97138,(503) 738-9678,2900,545,
WCC01-140111 ,QUICK STOP MARKET                       ,807 S PACIFIC AVE                       ,                                        ,,KELSO               ,WA             ,98626,(360) 636-4475,2900,545,
WCC01-150040 ,BEAVERCREEK GROCERY & DELI              ,22001 S BEAVERCREEK                     ,                                        ,,BEAVERCREEK         ,OR             ,97004,(503) 683-7536,2900,545,
WCC01-150348 ,TNT MARKET CANBY                        ,164 SE 1ST ST                           ,                                        ,,CANBY               ,OR             ,97013,(503) 166-2020,2900,545,
WCC01-1576   ,RICH & RHINE INC.                       ,13720 NE WHITTAKER WAY                  ,                                        ,,PORTLAND            ,OR             ,97230,(503) 255-7090,2900,545,
WCC01-1700   ,THRIFTWAY - NAPS                        ,112 E 1ST                               ,                                        ,,NEWBERG             ,OR             ,97132,(503) 538-8286,2900,545,
WCC01-1747   ,JAVIERS TACO SHOP #2 - PORTLAND         ,121 N LOMBARD                          ,                                        ,,PORTLAND            ,OR             ,97203,(503) 286-3186,2900,545,
WCC01-1790   ,ST HELENS SHOPPING CENTER               ,236 30TH AVE                            ,                                        ,,LONGVIEW            ,WA             ,98632,(360) 423-1570,2900,545,
WCC01-180007 ,EL RANCHO MEXICAN RESTAURANT            ,3416 W MCGRAW ST                        ,                                        ,,SEATTLE             ,WA             ,98166,(206) 281-9233,2900,545,
WCC01-1681   ,MAZATLAN RESTAURANT - CORNELIUS         ,1429 N ADAIR ST                         ,                                        ,,CORNELIUS           ,OR             ,97113,(503) 357-9410,2900,545,
WCC01-1719   ,VERNS FOOD SERVICE DISTRIBUTING         ,2410 SE KELLI  BLVD                     ,                                        ,,HERMISTON           ,OR             ,97838,(800) 658-3893,2900,545,
WCC01-180001 ,YARD HOUSE YH53                         ,888 SW 5TH AVE                          ,                                        ,,PORTLAND            ,OR             ,97204,(503) 222-0147,2900,545,
WCC01-1863   ,SELECT MARKET - SHERIDAN                ,135 SOUTH BRIDGE ST                     ,                                        ,,SHERIDAN            ,OR             ,97378,(503) 843-3374,2900,545,
WCC01-180008 ,PYRAMID BREWERIES INC                   ,91 S ROYAL BROUGHAM WAY                 ,                                        ,,SEATTLE             ,WA             ,98134,(206) 682-0307,2900,545,
WCC01-180011 ,GILLIANO'S                              ,1147 B GOERIG ST                        ,                                        ,,WOODLAND            ,WA             ,98674,(360) 225-4664,2900,545,
WCC01-1815   ,SANDY COVE INN                          ,241 AVENUE U                            ,                                        ,,SEASIDE             ,OR             ,97138,(503) 738-7473,2900,545,
WCC01-1832   ,CHEVRON - NORTH PLAINS                  ,10025 NW GLENCOE RD                     ,                                        ,,NORTH PLAINS        ,OR             ,97133,(503) 647-0481,2900,545,
WCC01-1835   ,CHEVRON - VANCOUVER BLUE GOOSE          ,210 E MILL PLAIN BLVD                   ,                                        ,,VANCOUVER           ,WA             ,98682,(360) 693-7767,2900,545,
WCC01-1838   ,CHEVRON - FOURTH PLAIN BLUE GOOSE       ,4100 E 4TH PLAIN                        ,                                        ,,VANCOUVER           ,WA             ,98661,(360) 695-9633,2900,545,
WCC01-1852   ,SPARE ROOM                              ,4830 NE 42ND                            ,                                        ,,PORTLAND            ,OR             ,97218,(503) 287-5800,2900,545,
WCC01-1877   ,CHEVRON - DIVISION                      ,14440 SE DIVISION ST                    ,                                        ,,PORTLAND            ,OR             ,97266,(503) 956-1567,2900,545,
WCC01-1894   ,IRVINGTON CLUB                          ,2131 NE THOMPSON ST                     ,                                        ,,PORTLAND            ,OR             ,97212,(503) 287-8749,2900,545,
WCC01-1902   ,CURTIS CUSTOM WELDING                   ,3215 SE 131ST AVE                       ,                                        ,,PORTLAND            ,OR             ,97236,(503) 760-6971,2900,545,
WCC01-2424   ,KLAMATH FALLS WAREHOUSE : PAT           ,                                        ,                                        ,,KLAMATH FALLS       ,OR             ,97601,,2900,545,
WCC01-180010 ,PIZZA A FETTA                           ,231 N HEMLOCK                           ,STE F                                   ,,CANNON BEACH        ,OR             ,97110,(503) 436-0333,2900,545,
WCC01-180016 ,YARD HOUSE YH8343                       ,1501 4TH AVENUE  SUITE 118              ,                                        ,,SEATTLE             ,WA             ,98101,(206) 682-2087,2900,545,
WCC01-1801   ,MOHLER CO-OP                            ,34890 HWY 53                            ,                                        ,,NEHALEM             ,OR             ,97131,(503) 368-5791,2900,545,
WCC01-1839   ,CHEVRON - CASCADE - BLUE GOOSE          ,500 SE CHKALOV DR                       ,                                        ,,VANCOUVER           ,WA             ,98683,(360) 256-9196,2900,545,
WCC01-1872   ,CHEVRON - FERN PRARIE STORE             ,1817 NE 267TH AVE                       ,                                        ,,CAMAS               ,WA             ,98607,(360) 834-3504,2900,545,
WCC01-1875   ,BEACHWAY GAS & GROCERY                  ,3115 OCEANWAY HWY                       ,                                        ,,LONGVIEW            ,WA             ,98632,(360) 636-3191,2900,545,
